,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,100.1,100.1.1,100.1.1.1,100.1.1.1.1,1.1,2.1,-1
17,"haystack,","hostage,","seduce,","stack,","stag,","stage,","stake,","steak,","stick,","sticky,","stock,","stocky,","stoic,","stoke,","stuck,","Asiatic,","Aztec,","eustacy,","Hasidic,","Sadducee,","sedge,","sedgy,","Stacey,","Stacy,","stagey,","stagy,","stogie,","stogy,","stooge,","stowage,","stucco,",wastage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"exhaustive,","staff,","stave,","stiff,","stove,","stuff,","stuffy,","staph,",Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"setup,","sit-up,","stab,","steep,","step,","stoop,","stop,","stub,","estop,","housetop,","isotope,","isotopy,","situp,","southpaw,","steppe,","stoup,","stubby,",stupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"sense,","sinus,","snazzy,","sneeze,","snooze,","easiness,","haziness,","ooziness,","sans,","sansei,","sexiness,","Sienese,","sinews,","sinuous,",Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"snoot,","assent,","Sunda,","hasn't,","Sunnite,","isn't,","USENET,","saint,","sand,","sandy,","sanity,","Santa,","Senate,","send,","sent,","snide,","snit,","snooty,","snot,","snotty,","snout,","sonata,","sonnet,","sound,","sundae,","Sunday,","synod,","syntax,","assonate,","Santee,","Sendai,","seniti,","sente,","sinewed,","snidey,",snood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,asinine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Sorry,",no,results.,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Senior,","sinner,","snare,","sneer,","snore,","Eisenhower,","sayonara,","seiner,","senor,","senora,","sonar,","Sonora,",sooner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"senile,","snail,","sanely,","Sinaloa,","sonly,",sunnily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"snowshoe,","Sonja,","swinish,",synch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Seneca,","essence,","snaky,","hazing,","Songhua,","housing,","sang,","Soyinka,","sank,","swanky,","saying,","swinge,","sewing,","Synge,","since,","sing,","singe,","sink,","snack,","snag,","snake,","sneak,","sneaky,","snuck,","snug,","song,","sonic,","sung,","sunk,","swank,","swing,","swung,","sync,","Eysenck,","hissing,","issuance,","ozonic,","seance,",seeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"snafu,","sniff,","snuff,",synovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"snap,","snappy,","snip,","snipe,","snob,","snobby,","snoop,","snub,","sunup,","snippy,",snoopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"osmose,","Samos,","Siamese,",someways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"smith,","smooth,","smut,","smutty,","someday,","somewhat,","summit,","assumed,","azimuth,","housemaid,","Izmit,","Samoyed,","Semite,","Semtex,","smite,","smithy,","smoothie,",smote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"semen,","someone,","summon,","Housman,","Osman,","Samian,","Samoan,","Seaman,","Simeon,","simian,","Simon,",simony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,osmium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"simmer,","smear,","somewhere,","summary,","summer,","summery,","swimmer,","Asmara,","Asmera,","isomer,","Izmir,","Samar,","Samara,","Samaria,","samurai,","Seymour,","smeary,",Sumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"simile,","small,","smell,","smelly,","smile,","awesomely,","Samuel,","sawmill,","seemly,","smilax,","smiley,","Somali,",Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"smash,","smooch,",sumach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"smack,","smock,","smog,","smoggy,","smoke,","smoky,","smug,","osmic,",sumac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Asimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"swamp,","samba,","sump,",swampy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"housewares,","series,","serious,","Azores,","Osiris,","sawhorse,","Sayers,","seahorse,","seeress,","serous,","Sirius,",usurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"assert,","assured,","hazard,","sort,","swarthy,","sword,","assort,","seaward,","seaworthy,","serrate,","serried,","Seurat,","Seward,","sorehead,","sorta,","sortie,","Suharto,","Surat,","surd,","surety,","surtax,","sward,",swart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"serene,","siren,","sworn,","Assyrian,","Azorean,","Azorian,","Saharan,","Saharian,","saran,","Saroyan,","saurian,","sierran,",Syrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"serum,",swarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"assurer,","assuror,","swearer,",usurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
